Agra	1299	336	632	1046	48.6528
Ahmedabad	2020	222	227	2036	11.2376
Asansol_Durgapur	368	229	230	185	62.5
Aurangabad	719	161	173	744	24.0612
Bengaluru	6031	689	720	4952	11.9383
Bhopal	3459	275	299	2970	8.64412
Coimbatore	1126	253	259	1058	23.0018
Delhi	7281	2007	2065	7226	28.3615
Dhanbad	138	74	82	106	59.4203
Faridabad	803	229	249	595	31.0087
Ghaziabad	1109	495	535	817	48.2417
Gwalior	2030	233	248	1626	12.2167
Hyderabad	2651	428	441	2528	16.6352
Indore	4995	407	425	4053	8.50851
Jaipur	2002	387	406	1915	20.2797
Jabalpur	2906	239	260	2990	8.94701
Jamshedpur	447	189	207	292	46.3087
Jodhpur	526	236	264	525	50.1901
Kochi	1986	171	182	2008	9.16415
Kolkata	3133	396	418	2420	13.3418
Kollam	1668	209	222	1811	13.3094
Kota	616	102	113	688	18.3442
Kannur	557	52	55	833	9.87433
Lucknow	1270	493	517	741	40.7087
Ludhiana	444	260	294	189	66.2162
Madurai	685	123	125	656	18.2482
Mallapuram	2694	290	324	3534	12.0267
Mumbai	25471	539	563	5059	2.21036
Meerut	886	321	384	679	43.3409
Nagpur	1231	227	236	1144	19.1714
Patna	1225	507	507	576	41.3878
Pune	261	62	64	213	24.5211
Rajkot	1039	163	172	1042	16.5544
Surat	1223	240	248	841	20.278
Srinagar	492	0	75	511	15.2439
Thrissur	1262	134	141	1343	11.1727
Vadodra	1343	164	172	908	12.8071
Varanasi	142	73	73	69	51.4085
Visakhapatnam	1548	410	414	1286	26.7442
Allahabad	0	0	0	0	0
Amritsar	0	0	0	0	0
Chandigarh	0	0	0	0	0
Chennai	0	0	0	0	0
Kanpur	0	0	0	0	0
Khozikode	0	0	0	0	0
Nashik	0	0	0	0	0
Raipur	0	0	0	0	0
Thiruvanthapuram	0	0	0	0	0
Tiruchirapalli	0	0	0	0	0
Vijaywada	0	0	0	0	0
Vizaq	0	0	0	0	0
