Agra	995	405	503	747	50.6	432	127	31
Ahmedabad	1642	256	262	1597	16	263	1123	0
Asansol_Durgapur	443	195	210	284	47.4	167	70	11
Aurangabad	560	161	170	578	30.4	254	99	46
Bengaluru	5004	703	729	4098	14.6	1385	1934	982
Bhopal	3459	199	236	2601	6.8	127	2328	805
Coimbatore	1594	272	282	1465	17.7	404	790	128
Delhi	8623	1629	1671	8283	19.4	352	6433	209
Dhanbad	106	60	63	77	59.4	32	11	3
Faridabad	719	253	259	466	36	127	302	37
Ghaziabad	897	370	387	647	43.1	421	98	8
Gwalior	1959	200	220	1630	11.2	135	1403	221
Hyderabad	2908	409	411	2561	14.1	252	2007	240
Indore	5784	410	439	4848	7.6	311	4100	963
Jaipur	1920	410	432	1693	22.5	751	479	280
Jabalpur	3124	305	317	3074	10.1	367	2090	362
Jamshedpur	238	91	92	163	38.7	85	41	21
Jodhpur	553	187	257	505	46.5	61	252	53
Kochi	2257	134	136	2264	6	1381	490	252
Kolkata	4561	431	450	3604	9.9	1591	1353	1186
Kollam	1703	206	217	1768	12.7	1276	171	50
Kota	768	117	125	771	16.3	180	401	70
Kannur	570	72	77	909	13.5	201	261	36
Lucknow	1356	515	537	838	39.6	413	302	126
Ludhiana	475	318	318	271	66.9	112	31	14
Madurai	691	100	101	643	14.6	27	519	45
Mallapuram	2719	336	357	3305	13.1	1761	401	221
Mumbai	22570	512	534	3938	2.4	1719	1606	18733
Meerut	1047	337	387	916	37	494	179	37
Nagpur	1149	263	281	1091	24.5	409	445	32
Patna	1193	493	493	682	41.3	407	154	139
Pune	1572	378	399	1402	25.4	495	580	119
Rajkot	770	140	150	690	19.5	104	455	71
Surat	974	246	267	817	27.4	404	215	109
Srinagar	374	51	58	393	15.5	1	280	42
Thrissur	1317	103	107	1417	8.1	830	291	93
Vadodra	1161	201	217	990	18.7	366	372	222
Varanasi	411	202	231	190	56.2	191	17	1
Visakhapatnam	0	0	0	0	0	0	0	0
Allahabad	1101	454	481	758	43.7	459	168	20
Amritsar	165	89	94	125	57	55	19	2
Chandigarh	369	124	131	335	35.5	9	199	37
Chennai	9610	1083	1118	9355	11.6	2748	4966	813
Kanpur	1251	530	600	941	48	434	266	21
Khozikode	1177	151	159	1253	13.5	760	185	81
Nashik	1070	165	172	494	16.1	280	175	450
Raipur	2097	425	442	1452	21.1	76	983	613
Thiruvanthapuram	2007	165	175	2371	8.7	1469	294	79
Tiruchirapalli	711	168	180	766	25.3	4	515	24
Vijaywada	1669	314	335	1578	20.1	379	860	116
Vizaq	1565	329	342	1356	21.9	720	228	288
