Agra	336	1299	632	1046	381	922	427	675	436	1008	502	750	49.8	405	432	127	31	995	503	747	50.6	498	369	260	16	1143	474	650	41.5
Ahmedabad	222	2020	227	2036	245	1850	251	1845	227	1888	230	1855	12.2	256	263	1123	0	1642	262	1597	16	318	351	1168	0	1837	328	1722	17.9
Asansol_Durgapur	229	368	230	185	199	380	224	315	200	433	218	404	50.3	195	167	70	11	443	210	284	47.4	210	160	60	16	446	210	220	47.1
Aurangabad	161	719	173	744	178	715	192	649	150	565	160	547	28.3	161	254	99	46	560	170	578	30.4	153	297	147	57	654	170	670	26
Bengaluru	689	6031	720	4952	707	5508	725	4527	733	5215	752	4334	14.4	703	1385	1934	982	5004	729	4098	14.6	708	1331	1899	896	4834	713	4057	14.7
Bhopal	275	3459	299	2970	278	3623	301	3076	242	3294	257	2615	7.8	199	127	2328	805	3459	236	2601	6.8	222	207	2351	841	3621	235	2779	6.5
Coimbatore	253	1126	259	1058	263	1128	270	1004	245	1300	248	1138	19.1	272	404	790	128	1594	282	1465	17.7	238	483	664	128	1513	245	1393	16.2
Delhi	2007	7281	2065	7226	1822	6937	1866	6633	1778	7566	1820	7098	24.1	1629	352	6433	209	8623	1671	8283	19.4	1582	372	5971	160	8085	1622	8258	20.1
Dhanbad	74	138	82	106	49	144	54	191	223	484	248	551	51.2	60	32	11	3	106	63	77	59.4	42	48	19	5	114	48	137	42.1
Faridabad	229	803	249	595	227	711	247	537	205	713	215	507	30.2	253	127	302	37	719	259	466	36	199	92	374	4	669	206	539	30.8
Ghaziabad	495	1109	535	817	358	850	378	710	363	874	406	667	46.5	370	421	98	8	897	387	647	43.1	316	430	70	10	826	331	668	40.1
Gwalior	233	2030	248	1626	213	1974	232	1434	232	1934	247	1470	12.8	200	135	1403	221	1959	220	1630	11.2	249	118	1498	275	2140	265	1703	12.4
Hyderabad	428	2651	441	2528	433	2577	464	2471	482	2591	493	2237	19	409	252	2007	240	2908	411	2561	14.1	425	484	1635	217	2761	425	2382	15.4
Indore	407	4995	425	4053	419	5433	447	4419	388	5516	422	4407	7.7	410	311	4100	963	5784	439	4848	7.6	421	322	4057	1073	5873	444	4685	7.6
Jaipur	387	2002	406	1915	374	1792	391	1636	379	1794	399	1525	22.2	410	751	479	280	1920	432	1693	22.5	452	758	428	256	1894	476	1661	25.1
Jabalpur	239	2906	260	2990	251	2919	275	2545	301	2939	327	2639	11.1	305	367	2090	362	3124	317	3074	10.1	345	370	2287	372	3374	365	3216	10.8
Jamshedpur	189	447	207	292	173	424	189	334	147	382	153	384	40.1	91	85	41	21	238	92	163	38.7	151	133	38	25	347	157	329	45.2
Jodhpur	236	526	264	525	313	533	313	436	261	522	298	536	57.1	187	61	252	53	553	257	505	46.5	257	70	308	43	678	297	700	43.8
Kochi	171	1986	182	2008	136	2280	144	2431	147	2248	151	2219	6.7	134	1381	490	252	2257	136	2264	6	159	1555	560	287	2561	168	2721	6.6
Kolkata	396	3133	418	2420	471	3937	498	3216	420	4437	437	3577	9.8	431	1591	1353	1186	4561	450	3604	9.9	412	1357	1404	1174	4347	422	3329	9.7
Kollam	209	1668	222	1811	197	1763	213	1909	247	1577	265	1659	16.8	206	1276	171	50	1703	217	1768	12.7	191	1233	101	36	1561	204	1601	13.1
Kota	102	616	113	688	108	601	112	709	98	706	109	784	15.4	117	180	401	70	768	125	771	16.3	105	180	391	69	745	108	713	14.5
Kannur	52	557	55	833	74	618	78	814	55	593	58	737	9.8	72	201	261	36	570	77	909	13.5	65	262	259	38	624	67	796	10.7
Lucknow	493	1270	517	741	474	1202	497	762	458	1254	473	762	37.7	515	413	302	126	1356	537	838	39.6	483	379	353	156	1371	526	820	38.4
Ludhiana	260	444	294	189	250	430	262	250	312	519	324	291	62.4	318	112	31	14	475	318	271	66.9	260	133	80	16	489	271	324	55.4
Madurai	123	685	125	656	121	839	127	835	140	695	145	668	20.9	100	27	519	45	691	101	643	14.6	208	15	768	46	1037	215	1021	20.7
Mallapuram	290	2694	324	3534	295	2711	325	3604	314	2653	354	3249	13.3	336	1761	401	221	2719	357	3305	13.1	332	1923	347	280	2882	367	3264	12.7
